move,score
Bf5,0
h4,-1
g6,-1
f6,-1
f5,-1
b6,-1
b5,-1
a6,-1
a5,-1
Rh7,-1
Rb8,-1
Qf6,-1
Qe7,-1
Qd7,-1
Nce7,-1
Nb8,-1
Kf8,-1
Ke7,-1
Kd7,-1
Bf8,-1
Bd7,-1
g5,-2
Nge7,-2
Nf6,-2
Be7,-2
Be6,-2
Bb4,-2
Nxd4,-3
Nh6,-3
Nb4,-3
Na5,-3
Bxh3,-3
Bh2,-3
Bg3,-3
Ba3,-3
Ne5,-4
Bg4,-4
Bf4,-4
Be5,-4
Bc5,-4
Rh6,-5
Qh4,-10
Qg5,-10
