verse_title,date,score,matches_woodruff,matches_scriptures
Doctrine and Covenants 88:49,"July 2, 1840 ",0.78902,The light shineth in darkness and and again the third,The light shineth in darkness and the darkness comprehendeth it
Doctrine and Covenants 76:14,"December 13, 1838 ",0.78895,gospel of Jesus Christ or the fulness of it and,bear is the fulness of the gospel of Jesus Christ
Doctrine and Covenants 107:36,"December 31, 1860 ",0.78859,are Equal in authority to the Quorum of the Twelve,a quorum equal in authority in the affairs of the
Doctrine and Covenants 95:12,"April 11, 1852 ",0.78804,love me they will keep my commandments if you want,If you keep not my commandments the love of the
Doctrine and Covenants 138:53,"December 31, 1844 ",0.7877,with Joseph Smith Jr and Hyrum Smith the prophet and,The Prophet Joseph Smith and my father Hyrum Smith Brigham
Doctrine and Covenants 128:21,"October 6, 1868 ",0.78744,of the Church of Jesus Christ of Latterday Saints in,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 68:25,"April 30, 1843 ",0.78687,of the gift of the Holy Ghost and in no,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 127:12,"January 1, 1872 ",0.7863,of the Church of Jesus Christ of Latterday Saints to,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 98:16,"January 21, 1844 ",0.786,the hearts of the children to their fathers lest I,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 136:20,"January 21, 1847 ",0.78598,seek ye and keep all your pledges one with another,Seek ye and keep all your pledges one with another and covet not that which is thy brother's
Doctrine and Covenants 132:46,"March 17, 1857 ",0.78594,seal on Earth shall be sealed in heaven and what,seal on earth shall be sealed in heaven and whatsoever
Doctrine and Covenants 136:32,"January 21, 1847 ",0.78586,his ears opened that he may hear for my spirit,may be opened that he may see and his ears opened that he may hear
Doctrine and Covenants 71:1,"October 6, 1891 ",0.78552,Thus Saith the Lord unto my Servants the Presidency of,Behold thus saith the Lord unto you my servants Joseph
Doctrine and Covenants 10:69,"March 5, 1881 ",0.7852,laws And the Gates of Hell shall not prevail against,upon my rock and the gates of hell shall not prevail against them
Doctrine and Covenants 68:7,"April 30, 1884 ",0.78507,word of the Lord unto you And the Lord will,This is the word of the Lord unto you my
Doctrine and Covenants 109:77,"January 1, 1877 ",0.78486,O Hear us O Lord in these our petitions and answer us from heaven thine Holy habitation and we will,O Lord God Almighty hear us in these our petitions and answer us from heaven thy holy habitation where thou
Doctrine and Covenants 127:12,"October 6, 1868 ",0.78407,of the Church of Jesus Christ of Latterday Saints in,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 68:11,"February 16, 1886 ",0.78405,Behold the signs of the times watch for the coming of the Son of Man,signs of the times and the signs of the coming of the Son of Man
Doctrine and Covenants 63:53,"April 2, 1885 ",0.78396,the coming of the Son of Man I the Lord,even in the day of the coming of the Son of Man
Doctrine and Covenants 136:32,"January 21, 1847 ",0.78381,his eyes may be opened that he may see and,may be opened that he may see and his ears opened that he may hear
Doctrine and Covenants 135:6,"October 7, 1867 ",0.78207,read the Bible Book of Mormon and Doctrine and Covenants,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 95:4,"September 10, 1843 ",0.78199,vineyard to prune the vineyard once more for the last,to prune my vineyard for the last time that I
Doctrine and Covenants 20:39,"January 11, 1880 ",0.78147,together and Ordain Priests Teachers and Deacons the spirit of,And to ordain other elders priests teachers and deacons
Doctrine and Covenants 63:58,"August 5, 1838 ",0.77915,day of warning and not of many words this is,For this is a day of warning and not a
Doctrine and Covenants 20:77,"April 11, 1852 ",0.77898,O God the Eternal Father I ask in the name,O God the Eternal Father we ask thee in the
Doctrine and Covenants 20:79,"April 11, 1852 ",0.77898,O God the Eternal Father I ask in the name,O God the Eternal Father we ask thee in the
Doctrine and Covenants 20:79,January 19 1840 ,0.77886,God the Eternal Father I ask the[e] in the name,O God the Eternal Father we ask thee in the
Doctrine and Covenants 20:77,January 19 1840 ,0.77886,God the Eternal Father I ask the[e] in the name,O God the Eternal Father we ask thee in the
Doctrine and Covenants 124:125,"October 2, 1856 ",0.77773,to be a prophet seer and Revelator in the church,presiding elder over all my church to be a translator a revelator a seer and prophet
Doctrine and Covenants 135:6,"September 10, 1836 ",0.77747,the Book of Doctrine and Covenants and Prayer by the,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 84:69,"February 23, 1848 ",0.77617,eyes of the blind and unstop the ears of the,In my name they shall open the eyes of the blind and unstop the ears of the deaf
Doctrine and Covenants 128:21,"June 21, 1863 ",0.77505,of the Church of Jesus Christ of Latterday Saints He,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 63:53,"August 29, 1896 ",0.77437,until the coming of the Son of Man I the,even in the day of the coming of the Son of Man
Doctrine and Covenants 128:21,"April 6, 1873 ",0.77251,Church of Jesus Christ of Latterday Saints [] Church of,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 63:5,"March 14, 1885 ",0.77241,Lord utter my word and it shall be obeyed and,Behold I the Lord utter my voice and it shall be obeyed
Doctrine and Covenants 45:44,"October 21, 1855 ",0.77211,will come From Heaven clothed with all that great Glory,of heaven clothed with power and great glory with all
Doctrine and Covenants 127:12,"June 21, 1863 ",0.77173,of the Church of Jesus Christ of Latterday Saints He,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 33:15,"July 2, 1840 ",0.77123,the gift of the Holy Ghost by the laying on,by the laying on of the hands and I will bestow the gift of the Holy Ghost upon them
Doctrine and Covenants 121:31,"December 21, 1896 ",0.77105,years 9 Months and 6 days Thus all of the,months and years and all the days of their days
Doctrine and Covenants 111:4,"January 1, 1881 ",0.77036,they shall not have power over the saints of God,shall have power over it insomuch that they shall not
Doctrine and Covenants 136:14,"January 21, 1847 ",0.77018,a company Also let my servants Amasa Mason Lyman and,Also let my servants Amasa Lyman and George A Smith organize a company
Doctrine and Covenants 18:18,"April 7, 1844 ",0.76986,you shall receive the Holy ghost take a view of,you shall receive and you shall have the Holy Ghost
Doctrine and Covenants 53:3,"March 10, 1844 ",0.7698,preach repentance and Baptism for the remission of sins and,to preach faith and repentance and remission of sins according
Doctrine and Covenants 84:92,"January 13, 1881 ",0.76941,water pure water whether in heat or in cold and,water whether in heat or in cold and bear testimony
Doctrine and Covenants 68:11,"December 31, 1847 ",0.76883,and in many of the signs of the times The,signs of the times and the signs of the coming of the Son of Man
Doctrine and Covenants 133:34,"February 26, 1879 ",0.7686,the richer blessing upon the head of Ephraim and his,the tribes of Israel and the richer blessing upon the head of Ephraim and his fellows
Doctrine and Covenants 124:45,"October 6, 1891 ",0.76836,Saints will hearken unto my voice and the counsel of,And if my people will hearken unto my voice and
Doctrine and Covenants 56:11,"January 9, 1894 ",0.76825,words shall not pass away but shall be fulfilled saith,And though the heaven and the earth pass away these words shall not pass away but shall be fulfilled
Doctrine and Covenants 9:8,"June 2, 1857 ",0.76781,if it was right and wherever it is right for,if it be right and if it is right I
Doctrine and Covenants 33:15,"April 30, 1843 ",0.76775,gift of the Holy Ghost by the laying on of,by the laying on of the hands and I will bestow the gift of the Holy Ghost upon them
Doctrine and Covenants 55:2,"January 1, 1877 ",0.76617,of Jesus Christ the son of the living God that,way of baptism in the name of Jesus Christ the Son of the living God
Doctrine and Covenants 98:18,"September 15, 1884 ",0.7661,Enemies Let not your hearts be troubled I am in,Let not your hearts be troubled for in my Father's
Doctrine and Covenants 18:32,"August 16, 1844 ",0.76545,the power of the Holy Priesthood and the Holy Ghost,to the power of the Holy Ghost which is in
Doctrine and Covenants 88:85,"April 20, 1889 ",0.7654,salvation to this generation his garments are clean from the,their garments are not clean from the blood of this generation
Doctrine and Covenants 56:11,"January 9, 1894 ",0.7651,be fulfilled And though heaven and earth pass away my,And though the heaven and the earth pass away these words shall not pass away but shall be fulfilled
Doctrine and Covenants 94:3,"September 21, 1840 ",0.76276,in the things pertaining to the church and kingdom of,and for the work of the ministry of the presidency in all things pertaining to the church and kingdom
Doctrine and Covenants 107:56,"February 19, 1837 ",0.76272,Lord and stood in the midst of the congregation of,And Adam stood up in the midst of the congregation
Doctrine and Covenants 38:6,"October 18, 1848 ",0.76264,wo wo wo is their DOOM The following verses I,kept that will not hear my voice but harden their hearts and wo wo wo is their doom
Doctrine and Covenants 133:31,"February 26, 1879 ",0.76245,everlasting Hills shall tremble at your presence And you shall,And the boundaries of the everlasting hills shall tremble at their presence
Doctrine and Covenants 93:26,"January 17, 1851 ",0.76219,and truth in the spirit of God I spent the,The Spirit of truth is of God I am the
Doctrine and Covenants 45:9,"April 6, 1844 ",0.76194,of God to the world would be a light in,the world to be a light to the world and
Doctrine and Covenants 84:98,"January 22, 1843 ",0.76181,would then see eye to eye and the blessings of,knowledge of the Lord and shall see eye to eye
Doctrine and Covenants 27:9,"March 10, 1844 ",0.76128,hearts of the Fathers to the Children and the hearts,to the children and the hearts of the children to
Doctrine and Covenants 127:12,"April 6, 1873 ",0.76101,Church of Jesus Christ of Latterday Saints [] Church of,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 107:6,"November 10, 1876 ",0.76073,stands at the Melchizedek Priesthood and Aaronic priesthood were Plain,Melchizedek Priesthood and the other is the Aaronic or Levitical Priesthood
Doctrine and Covenants 124:71,"December 31, 1884 ",0.76043,shall not be moved out of her Place Zion shall,shall be accursed and shall be moved out of their
Doctrine and Covenants 68:25,"January 1, 1877 ",0.75939,of Jesus Christ the son of the living God that,Christ the Son of the living God and of baptism
Doctrine and Covenants 53:3,"July 2, 1840 ",0.75934,Preach the Baptism of repentance for remission of Sins and,to preach faith and repentance and remission of sins according
Doctrine and Covenants 18:32,"January 13, 1881 ",0.7588,the spirit and Power of the Holy Ghost and the,to the power of the Holy Ghost which is in
Doctrine and Covenants 45:39,"April 2, 1885 ",0.75858,the coming of the Son of Man I the Lord,the Lord to come even for the signs of the coming of the Son of Man
Doctrine and Covenants 133:22,"February 17, 1857 ",0.75855,God his voice was as the voice of God and,And it shall be a voice as the voice of
Doctrine and Covenants 68:25,"October 7, 1856 ",0.75821,power of God and the gift of the Holy Ghost,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 68:25,"January 1, 1861 ",0.75821,power of God and the Gift of the Holy Ghost,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 113:6,"August 27, 1844 ",0.75803,Holy Priesthood and the Keys of the kingdom of God,the priesthood and the keys of the kingdom for an
Doctrine and Covenants 107:56,"October 20, 1855 ",0.75753,and stood in the midst of a congregation of saints,And Adam stood up in the midst of the congregation
Doctrine and Covenants 1:9,"June 30, 1893 ",0.75726,come and shall be poured out without measure upon the,the wrath of God shall be poured out upon the wicked without measure
Doctrine and Covenants 1:9,"December 31, 1884 ",0.75726,come and shall be poured out without measure upon the,the wrath of God shall be poured out upon the wicked without measure
Doctrine and Covenants 39:24,"March 5, 1881 ",0.7555,I come I come quickly Even so Amen WILFORD WOODRUFFS,Behold I come quickly Even so Amen
Doctrine and Covenants 128:10,"March 5, 1881 ",0.75479,laws And the Gates of Hell shall not prevail against,of hell shall not prevail against it And I will
Doctrine and Covenants 82:18,"September 6, 1856 ",0.75436,a benefit to the Church the History of this Church,And all this for the benefit of the church of
Doctrine and Covenants 45:9,"January 20, 1872 ",0.75384,the world that light has come into the world and,the world to be a light to the world and
Doctrine and Covenants 55:2,"December 20, 1850 ",0.75375,in the name of Jesus Christ the Son of the,way of baptism in the name of Jesus Christ the Son of the living God
Doctrine and Covenants 55:2,"April 15, 1837 ",0.75375,in the name of JESUS CHRIST the Son of the,way of baptism in the name of Jesus Christ the Son of the living God
Doctrine and Covenants 120:1,"July 1, 1866 ",0.75328,unto the First Presidency of the Church and Kingdom of,of the First Presidency of my Church and of the
Doctrine and Covenants 20:48,"January 11, 1880 ",0.75304,together and Ordain Priests Teachers and Deacons the spirit of,And he may also ordain other priests teachers and deacons
Doctrine and Covenants 128:17,"January 13, 1856 ",0.75288,their Fathers lest I come and smite the Earth with,children and the heart of the children to their fathers lest I come and smite the earth with a curse
Doctrine and Covenants 39:12,"October 6, 1891 ",0.75261,shall come to pass and no power shall stay my,And it shall come to pass that power shall rest
Doctrine and Covenants 2:1,"January 13, 1856 ",0.75257,the coming of the great and Dreadful day of the,hand of Elijah the prophet before the coming of the great and dreadful day of the Lord
Doctrine and Covenants 111:4,"October 2, 1856 ",0.7525,shall have power over your Enemies and you shall not,shall have power over it insomuch that they shall not
Doctrine and Covenants 128:21,"February 14, 1835 ",0.75243,to the Church of Jesus Christ of Latterday Saints his,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 39:24,"March 29, 1893 ",0.75187,come I come quickly Even so Amen Copied by George,Behold I come quickly Even so Amen
Doctrine and Covenants 128:21,"April 6, 1837 ",0.75104,day the Church of Jesus Christ of Latterday Saints was,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 136:3,"February 15, 1847 ",0.75065,Council captains of Hundreds fifties and tens to further the,of fifties and captains of tens with a president and
Doctrine and Covenants 112:30,"January 1, 1877 ",0.75028,God in this the last dispensation and fulness of times,the last days and for the last time in the which is the dispensation of the fulness of times
Doctrine and Covenants 127:12,"February 14, 1835 ",0.74977,to the Church of Jesus Christ of Latterday Saints his,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 61:18,"July 9, 1884 ",0.74901,unto you And what I the Lord say unto you,I say unto one I say unto all that you
Doctrine and Covenants 63:14,"August 27, 1885 ",0.74893,a name among you who are Adulterers and Adulteresses and,There were among you adulterers and adulteresses some of whom
Doctrine and Covenants 13:1,"January 20, 1872 ",0.74879,of God it was not by the ministering of angels,of the ministering of angels and of the gospel of
