index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
37340,33716,0.74826,Psalms 137:5,Old Testament,1233,663.0,200,https://wilfordwoodruffpapers.org/documents/4b929c96-b4ed-4321-88f2-fcf3dd5772e8/page/c9d05523-91fc-4d76-9128-d777f72db3dc,1,mouth and my right hand forget her cunning when I,"If I forget thee, O Jerusalem, let my right hand forget her cunning.",
38180,17183,0.73249,1 Samuel 17:37,Old Testament,1258,664.0,108,https://wilfordwoodruffpapers.org/documents/411b96bd-0796-4e85-b811-dedb0aea0067/page/630a6960-f80f-4dbd-89d5-614940c933a9,1,"passed by Paw Paw, Lee County, Illinois a 12 mile","the paw of the lion, and out of the paw",1841-09-27|1841-09-28|1841-09-29|1841-09-30|1841-10-01
38406,52698,0.72738,Luke 7:35,New Testament,1265,664.0,115,https://wilfordwoodruffpapers.org/documents/411b96bd-0796-4e85-b811-dedb0aea0067/page/aa97be27-712b-434b-9bed-1a3db0280cb3,1,"No wisdom is justified of her children [##Luke 7:35##], the",But wisdom is justified of all her children.,1841-11-08|1841-11-09|1841-11-10|1841-11-11|1841-11-12|1841-11-13|1841-11-14|1841-11-15|1841-11-16
38685,53070,0.71949,Luke 11:23,New Testament,1272,667.0,122,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/d47a1641-4ae0-4d91-ba5f-622f8469ae6f,1,he that gathereth not with us scattereth. And they that,He that is not with me is against me: and he that gathereth not with me scattereth.,
38690,54803,0.70341,John 10:1,New Testament,1272,667.0,122,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/d47a1641-4ae0-4d91-ba5f-622f8469ae6f,1,say unto you that if you do not help us,"Verily, verily, I say unto you, He that entereth not",
38690,69052,0.70097,Mosiah 1:14,Book of Mormon,1272,667.0,122,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/d47a1641-4ae0-4d91-ba5f-622f8469ae6f,1,say unto you that if you do not help us,"For I say unto you, that if he had not",
38713,90033,0.70071,Doctrine and Covenants 70:1,Doctrine and Covenants,1273,667.0,123,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/b65456cf-2525-4b25-b68c-3bfd6269bb08,1,"m his servant Joseph Smith Jr., let my servant Brigham","my servant Joseph Smith, Jun., and also unto my servant",
38713,92481,0.7081,Doctrine and Covenants 103:37,Doctrine and Covenants,1273,667.0,123,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/b65456cf-2525-4b25-b68c-3bfd6269bb08,1,"m his servant Joseph Smith Jr., let my servant Brigham","Let my servant Parley P. Pratt journey with my servant Joseph Smith, Jun.",
38713,93578,0.73264,Doctrine and Covenants 118:6,Doctrine and Covenants,1273,667.0,123,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/b65456cf-2525-4b25-b68c-3bfd6269bb08,1,"m his servant Joseph Smith Jr., let my servant Brigham","Let my servant John Taylor, and also my servant John",
38713,93884,0.74641,Doctrine and Covenants 124:22,Doctrine and Covenants,1273,667.0,123,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/b65456cf-2525-4b25-b68c-3bfd6269bb08,1,"m his servant Joseph Smith Jr., let my servant Brigham","Let my servant George, and my servant Lyman, and my",
38713,94119,0.71407,Doctrine and Covenants 124:91,Doctrine and Covenants,1273,667.0,123,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/b65456cf-2525-4b25-b68c-3bfd6269bb08,1,"m his servant Joseph Smith Jr., let my servant Brigham","servant Joseph, in the room of my servant Hyrum, that",
38780,38745,0.74721,Jeremiah 3:14,Old Testament,1275,667.0,125,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/ab69fdd1-4dbc-4801-97cf-dff40d565839,1,a city and two of a family and bring them,"a city, and two of a family, and I will bring you to Zion:",
38784,89873,0.74746,Doctrine and Covenants 66:4,Doctrine and Covenants,1275,667.0,125,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/ab69fdd1-4dbc-4801-97cf-dff40d565839,1,know what the will of the Lord is concerning you,"what I will concerning you, or what is my will concerning you.",
38798,95318,0.70467,Doctrine and Covenants 136:11,Doctrine and Covenants,1276,667.0,126,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/6cd60c5e-a3db-4fa1-b27d-61f3363861d5,1,"time you shall be blessed, if not you shall be","all faithfulness, ye shall be blessed; you shall be blessed",
38799,93921,0.79002,Doctrine and Covenants 124:32,Doctrine and Covenants,1276,667.0,126,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/6cd60c5e-a3db-4fa1-b27d-61f3363861d5,1,"rejected as a Church with your dead saith the Lord,","the appointment ye shall be rejected as a church, with your dead, saith the Lord your God.",
