index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
546,20634,0.7065,1 Kings 9:1,Old Testament,15,665.0,116,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/1dec3d0e-e148-4e64-8873-23ebc831d8f1,1,"the building of the house of the Lord in Kirtland,","building of the house of the Lord, and the king's",1836-11-28|1836-11-29|1836-11-30|1836-12-01
571,27044,0.83528,2 Chronicles 29:20,Old Testament,16,665.0,117,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/810333a0-512b-4e25-a6dc-ce6c7eb57236,1,Sunday I went up to the house of the Lord,"of the city, and went up to the house of the Lord.",1836-12-02|1836-12-03|1836-12-04|1836-12-05|1836-12-06|1836-12-10|1836-12-11
604,27044,0.83528,2 Chronicles 29:20,Old Testament,17,665.0,118,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/9f98d013-1183-4518-a38d-9a7bd03f82f1,1,Sunday I went up to the house of the Lord,"of the city, and went up to the house of the Lord.",1836-12-18|1836-12-19|1836-12-20|1836-12-20|1836-12-22|1836-12-24|1836-12-25
664,20634,0.79124,1 Kings 9:1,Old Testament,18,665.0,119,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/4e09b7ad-b136-4d9a-993c-a250db43c608,1,for the building of the house of the Lord in,"building of the house of the Lord, and the king's",1836-12-27|1836-12-28|1836-12-31
703,94362,0.72267,Doctrine and Covenants 127:12,Doctrine and Covenants,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,the Church of Jesus Christ of Latter Day Saints held,"Lord, prophet and seer of The Church of Jesus Christ of Latter-day Saints.",
703,94551,0.72562,Doctrine and Covenants 128:21,Doctrine and Covenants,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,the Church of Jesus Christ of Latter Day Saints held,tribulations of this Church of Jesus Christ of Latter-day Saints!,
708,10392,0.73117,Deuteronomy 1:3,Old Testament,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,month of the Eleventh year of the Church the meeting,"the eleventh month, on the first day of the month,",
708,20330,0.79315,1 Kings 6:38,Old Testament,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,month of the Eleventh year of the Church the meeting,"And in the eleventh year, in the month Bul, which",
708,25276,0.71199,1 Chronicles 27:14,Old Testament,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,month of the Eleventh year of the Church the meeting,The eleventh captain for the eleventh month was Benaiah the,
1195,97216,0.78702,Joseph Smith--History 1:1,Pearl of Great Price,46,664.0,62,https://wilfordwoodruffpapers.org/documents/6a218997-5d26-4ef8-96ab-3189c690ae66/page/ca3f5f19-c858-48c1-8341-46866611f944,1,year of the rise of the Church of Jesus Christ,rise and progress of The Church of Jesus Christ of,1841-04-06
1262,9785,0.81812,Numbers 27:23,Old Testament,48,664.0,64,https://wilfordwoodruffpapers.org/documents/6a218997-5d26-4ef8-96ab-3189c690ae66/page/9f76b871-d8fb-4636-acc3-236dba729889,1,He then laid his hands upon him and Blessed him,"And he laid his hands upon him, and gave him",
2042,1263,0.8195,Genesis 24:49,Old Testament,70,667.0,236,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/ae6572f6-c483-4d44-a516-9aab4037d83f,1,who will not turn to the right hand or left,"I may turn to the right hand, or to the left.",
2042,19001,0.79938,2 Samuel 14:19,Old Testament,70,667.0,236,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/ae6572f6-c483-4d44-a516-9aab4037d83f,1,who will not turn to the right hand or left,can turn to the right hand or to the left,
2081,88548,0.77379,Doctrine and Covenants 45:9,Doctrine and Covenants,71,667.0,237,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/ddf7dde5-7933-4e0d-a599-183b2f9eeca6,1,God to the world would be a light in a,"the world, to be a light to the world, and",1844-04-07
2152,71778,0.70265,Alma 1:32,Book of Mormon,73,667.0,239,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/75e2ce43-deb4-4766-9c9c-1e2b556a150e,1,to me He did not belong to a church was,For those who did not belong to their church did,
2169,53382,0.72362,Luke 15:7,New Testament,74,667.0,240,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/c5ed37e8-ca52-40f9-9c69-65eb2df8da17,1,more joy over one sinner that repenteth than over ninety,"heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance.",
2171,62272,0.70608,Revelation 3:7,New Testament,74,667.0,240,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/c5ed37e8-ca52-40f9-9c69-65eb2df8da17,1,"no man can do a better work, let no man","openeth, and no man shutteth; and shutteth, and no man openeth;",
2171,85885,0.71387,Moroni 7:17,Book of Mormon,74,667.0,240,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/c5ed37e8-ca52-40f9-9c69-65eb2df8da17,1,"no man can do a better work, let no man","work, for he persuadeth no man to do good, no,",
2195,87591,0.7155,Doctrine and Covenants 27:18,Doctrine and Covenants,75,667.0,241,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/4d74520c-0be4-441a-b2ec-f1fe1c9fac23,1,I will in the last days pour out my spirit,"my Spirit, which I will pour out upon you, and",
2209,84660,0.70018,Ether 4:12,Book of Mormon,75,667.0,241,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/4d74520c-0be4-441a-b2ec-f1fe1c9fac23,1,and I believe I am flesh and I believe you,believe me--that I am; and he that will not believe,
2253,94780,0.74994,Doctrine and Covenants 132:24,Doctrine and Covenants,77,667.0,243,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/5f7383d1-ec0d-4303-8d73-b1a473744883,1,this is eternal life to know the only wise God,This is eternal lives--to know the only wise and true,
2331,50497,0.75614,Matthew 23:33,New Testament,79,667.0,245,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/6930244c-523e-4154-9c91-206c4877e96f,1,"how can ye escape the damnation of Hell, here we","Ye serpents, ye generation of vipers, how can ye escape the damnation of hell?",
2387,94516,0.70814,Doctrine and Covenants 128:18,Doctrine and Covenants,81,667.0,247,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/66afd65e-c520-417a-b7ea-6b94d29d1f76,1,"cannot be made perfect without us, for it is necessary",the dead. For we without them cannot be made perfect;,
2389,94520,0.70667,Doctrine and Covenants 128:18,Doctrine and Covenants,81,667.0,247,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/66afd65e-c520-417a-b7ea-6b94d29d1f76,1,children and our dead for the fulness of the dispensation,the ushering in of the dispensation of the fulness of,
2663,84262,0.81681,Mormon 9:29,Book of Mormon,90,665.0,147,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/d7e43c06-1403-4baf-81f8-ffe5b4b9db0b,1,thy head in the name of JESUS CHRIST the Son,"in the name of Jesus Christ, the Son of the",1837-04-15
2718,96945,0.72985,Abraham 4:6,Pearl of Great Price,91,665.0,148,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/835cf6ff-2501-4461-8d6f-13bfec1abea8,1,upon the waters at thy command the waters shall be,"in the midst of the waters, and it shall divide the waters from the waters.",
2752,6983,0.7454,Leviticus 18:7,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,thy sorrow or saw thy tears but God thy Father,"The nakedness of thy father, or the nakedness of thy",
2752,64802,0.71539,1 Nephi 17:55,Book of Mormon,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,thy sorrow or saw thy tears but God thy Father,"the Lord thy God, and honor thy father and thy",
2760,4300,0.72852,Exodus 20:7,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt not take the name of the Lord thy,
2760,10778,0.72852,Deuteronomy 5:11,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt not take the name of the Lord thy,
2760,10850,0.75029,Deuteronomy 6:5,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,And thou shalt love the Lord thy God with all,
2760,11002,0.72615,Deuteronomy 8:18,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,But thou shalt remember the Lord thy God: for it,
2760,11132,0.79789,Deuteronomy 10:20,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt fear the Lord thy God; him shalt thou,
2760,11302,0.7373,Deuteronomy 12:31,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt not do so unto the Lord thy God:,
2760,11394,0.77254,Deuteronomy 14:23,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,"And thou shalt eat before the Lord thy God, in",
2760,11504,0.75347,Deuteronomy 16:11,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,"And thou shalt rejoice before the Lord thy God, thou,",
2760,11619,0.74579,Deuteronomy 18:13,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt be perfect with the Lord thy God.,
2760,11920,0.74618,Deuteronomy 23:21,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,When thou shalt vow a vow unto the Lord thy,
2760,12064,0.75655,Deuteronomy 26:13,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,"Then thou shalt say before the Lord thy God, I",
2760,12101,0.75543,Deuteronomy 27:6,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt build the altar of the Lord thy God,
2760,24412,0.727,1 Chronicles 11:2,Old Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,"and the Lord thy God said unto thee, Thou shalt",
2760,51777,0.75029,Mark 12:30,New Testament,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,And thou shalt love the Lord thy God with all,
2760,70219,0.72852,Mosiah 13:15,Book of Mormon,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt not take the name of the Lord thy,
2760,89409,0.73914,Doctrine and Covenants 59:7,Doctrine and Covenants,92,665.0,149,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/a2fe0572-3a48-4c59-a0d8-fc689d550acc,1,in the Temple of the Lord thy God. Thou shalt,Thou shalt thank the Lord thy God in all things.,
2797,91403,0.71253,Doctrine and Covenants 88:119,Doctrine and Covenants,94,665.0,151,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/b95c21c1-493e-4639-b025-69e6592d091f,1,the house of the Lord in prayer and fasting with,"even a house of prayer, a house of fasting, a",1837-04-20|1837-04-21|1837-04-22|1837-04-30|1837-05-01|1837-05-05|1837-05-10
2797,93092,0.71253,Doctrine and Covenants 109:8,Doctrine and Covenants,94,665.0,151,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/b95c21c1-493e-4639-b025-69e6592d091f,1,the house of the Lord in prayer and fasting with,"even a house of prayer, a house of fasting, a",1837-04-20|1837-04-21|1837-04-22|1837-04-30|1837-05-01|1837-05-05|1837-05-10
2840,40135,0.71583,Jeremiah 26:2,Old Testament,95,665.0,152,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/883d4d72-eaf5-435d-8d09-f127906543d9,1,to the house of the Lord to worship the GOD,"which come to worship in the Lord's house, all the",1837-05-14|1837-05-23|1837-05-25|1837-05-27|1837-05-28
2840,70578,0.74497,Mosiah 18:25,Book of Mormon,95,665.0,152,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/883d4d72-eaf5-435d-8d09-f127906543d9,1,to the house of the Lord to worship the GOD,"the people, and to worship the Lord their God, and",1837-05-14|1837-05-23|1837-05-25|1837-05-27|1837-05-28
2840,96679,0.73086,Abraham 1:17,Pearl of Great Price,95,665.0,152,https://wilfordwoodruffpapers.org/documents/0c135f54-be55-48db-8cf0-91d0e9f2258f/page/883d4d72-eaf5-435d-8d09-f127906543d9,1,to the house of the Lord to worship the GOD,"me, to worship the god of Elkenah, and the god",1837-05-14|1837-05-23|1837-05-25|1837-05-27|1837-05-28
3244,47582,0.73974,Obadiah 1:17,Old Testament,105,667.0,251,https://wilfordwoodruffpapers.org/documents/9e6a8877-784b-4eec-a81a-8333cc06fb73/page/64b68513-f020-4f02-8155-15074de79c8d,1,17 vers upon Mount Zion shall be deliverance and He,"But upon mount Zion shall be deliverance, and there shall",1844-04-09
3820,71304,0.70723,Mosiah 27:6,Book of Mormon,124,667.0,270,https://wilfordwoodruffpapers.org/documents/9e6a8877-784b-4eec-a81a-8333cc06fb73/page/420b3e2a-2c50-4e59-80ec-ecd64a9c09c0,1,of the saints and Elders who began to scatter abroad,"began to scatter abroad upon the face of the earth,",1844-06-03
3994,63157,0.72811,1 Nephi 1:13,Book of Mormon,129,667.0,315,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/34b27e46-6aa1-43df-9594-4549ab5e08ac,1,"WO, WO, WO, unto all who have shed the blood","And he read, saying: Wo, wo, unto Jerusalem, for I",
3994,68001,0.74472,Jacob 3:3,Book of Mormon,129,667.0,315,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/34b27e46-6aa1-43df-9594-4549ab5e08ac,1,"WO, WO, WO, unto all who have shed the blood","But, wo, wo, unto you that are not pure in",
3994,69299,0.76281,Mosiah 3:12,Book of Mormon,129,667.0,315,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/34b27e46-6aa1-43df-9594-4549ab5e08ac,1,"WO, WO, WO, unto all who have shed the blood","But wo, wo unto him who knoweth that he rebelleth",
3994,81662,0.87311,3 Nephi 9:2,Book of Mormon,129,667.0,315,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/34b27e46-6aa1-43df-9594-4549ab5e08ac,1,"WO, WO, WO, unto all who have shed the blood","Wo, wo, wo unto this people; wo unto the inhabitants",
3994,96454,0.7165,Moses 7:48,Pearl of Great Price,129,667.0,315,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/34b27e46-6aa1-43df-9594-4549ab5e08ac,1,"WO, WO, WO, unto all who have shed the blood","saying: Wo, wo is me, the mother of men; I",
4225,89296,0.70796,Doctrine and Covenants 58:22,Doctrine and Covenants,137,667.0,323,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/c7754498-1df8-4dc6-8fe2-2eea2308af10,1,he reigns whose right it is to reign. Let thy,"reigns whose right it is to reign, and subdues all enemies under his feet.",1844-08-24
4257,84262,0.73029,Mormon 9:29,Book of Mormon,138,667.0,324,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/c8bd371c-25b8-4bac-b715-0e76915f151a,1,head in the name of Jesus Christ and by the,"in the name of Jesus Christ, the Son of the",
4263,85785,0.7959,Moroni 4:3,Book of Mormon,138,667.0,324,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/c8bd371c-25b8-4bac-b715-0e76915f151a,1,we ask God the Eternal Father in the name of,"O God, the Eternal Father, we ask thee in the",
4263,85795,0.7959,Moroni 5:2,Book of Mormon,138,667.0,324,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/c8bd371c-25b8-4bac-b715-0e76915f151a,1,we ask God the Eternal Father in the name of,"O God, the Eternal Father, we ask thee, in the",
4263,87346,0.7959,Doctrine and Covenants 20:77,Doctrine and Covenants,138,667.0,324,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/c8bd371c-25b8-4bac-b715-0e76915f151a,1,we ask God the Eternal Father in the name of,"O God, the Eternal Father, we ask thee in the",
4263,87356,0.7959,Doctrine and Covenants 20:79,Doctrine and Covenants,138,667.0,324,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/c8bd371c-25b8-4bac-b715-0e76915f151a,1,we ask God the Eternal Father in the name of,"O God, the Eternal Father, we ask thee in the",
4287,30538,0.80672,Job 32:8,Old Testament,139,667.0,325,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/a86fa5b0-1701-4412-88ce-8a748c5474e2,1,the inspiration of the Almighty giveth it understanding it is,But there is a spirit in man: and the inspiration of the Almighty giveth them understanding.,1844-08-25
4397,51771,0.80049,Mark 12:26,New Testament,142,667.0,328,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/f4f804af-b6f4-4a2f-9d44-95b64983608e,1,"upon the God of Abraham Isaac, Jacob and Joseph by","of Abraham, and the God of Isaac, and the God of Jacob?",
4397,53760,0.81853,Luke 20:37,New Testament,142,667.0,328,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/f4f804af-b6f4-4a2f-9d44-95b64983608e,1,"upon the God of Abraham Isaac, Jacob and Joseph by","Abraham, and the God of Isaac, and the God of Jacob.",
4397,55746,0.81327,Acts 3:13,New Testament,142,667.0,328,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/f4f804af-b6f4-4a2f-9d44-95b64983608e,1,"upon the God of Abraham Isaac, Jacob and Joseph by","The God of Abraham, and of Isaac, and of Jacob,",
4397,69666,0.74735,Mosiah 7:19,Book of Mormon,142,667.0,328,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/f4f804af-b6f4-4a2f-9d44-95b64983608e,1,"upon the God of Abraham Isaac, Jacob and Joseph by","of Abraham, and Isaac, and Jacob; and also, that God",
4435,33618,0.70488,Psalms 129:8,Old Testament,144,667.0,330,https://wilfordwoodruffpapers.org/documents/e1c2ef6c-601e-4cd8-9584-721281238e28/page/f7cc3000-3c6d-4e76-87db-f3d225971ce0,1,the Lord we bless you as you are about to,the Lord be upon you: we bless you in the name of the Lord.,
4462,7940,0.71676,Numbers 3:27,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"the family of the Izeharites, and the family of the",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9646,0.70599,Numbers 26:12,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"family of the Nemuelites: of Jamin, the family of the Jaminites: of Jachin, the family of the Jachinites:",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9650,0.70599,Numbers 26:15,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"family of the Zephonites: of Haggi, the family of the Haggites: of Shuni, the family of the Shunites:",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9662,0.71584,Numbers 26:23,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"the family of the Tolaites: of Pua, the family of the Punites:",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9667,0.71026,Numbers 26:26,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"the family of the Sardites: of Elon, the family of the Elonites: of Jahleel, the family of the Jahleelites.",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9679,0.71026,Numbers 26:35,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"Shuthelah, the family of the Shuthalhites: of Becher, the family of the Bachrites: of Tahan, the family of the Tahanites.",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9696,0.71026,Numbers 26:44,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"the family of the Jimnites: of Jesui, the family of the Jesuites: of Beriah, the family of the Beriites.",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9702,0.71584,Numbers 26:48,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"the family of the Jahzeelites: of Guni, the family of the Gunites:",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4462,9719,0.72387,Numbers 26:58,Old Testament,145,667.0,101,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/21aa7fb9-1bc4-4f1c-9fb9-7d423924314c,1,the family distance of the day 3 m [] I,"the Libnites, the family of the Hebronites, the family of",1843-08-21|1843-08-22|1843-08-23|1843-08-24
4603,95268,0.72378,Doctrine and Covenants 135:6,Doctrine and Covenants,149,667.0,105,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/efa7af9f-0393-47e9-826f-cfd2693b8b84,1,"the Truth of the Book of Mormon, covenants, and a","Book of Mormon, and this book of Doctrine and Covenants",1843-08-27
4607,95208,0.76601,Doctrine and Covenants 135:1,Doctrine and Covenants,149,667.0,105,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/efa7af9f-0393-47e9-826f-cfd2693b8b84,1,the testimony of the Book of the Book of Mormon,To seal the testimony of this book and the Book,1843-08-27
4784,92105,0.71366,Doctrine and Covenants 101:23,Doctrine and Covenants,155,667.0,111,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/e3129e5c-3978-4b04-8db4-8e50bafafcc1,1,prepare the saints for that which is to come I,"And prepare for the revelation which is to come, when",1843-09-09
4789,94226,0.77365,Doctrine and Covenants 124:129,Doctrine and Covenants,155,667.0,111,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/e3129e5c-3978-4b04-8db4-8e50bafafcc1,1,"Brigham Young Heber Chase Kimball, Parley Parker Pratt Orson Pratt","They are Heber C. Kimball, Parley P. Pratt, Orson Pratt,",1843-09-09
4909,3953,0.71229,Exodus 14:22,Old Testament,159,667.0,115,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/43be98b3-5b2a-4b3d-bb43-a2cb266fa81f,1,staid in the midst of the children of Israel had,And the children of Israel went into the midst of,
4932,81762,0.86376,3 Nephi 10:6,Book of Mormon,160,667.0,116,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/20170450-fac6-44ea-b404-e03ba18d1b7f,1,would gather the Jews oft as a hen gathereth her,oft will I gather you as a hen gathereth her,
4959,38315,0.86097,Isaiah 60:17,Old Testament,161,667.0,117,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/c9c13d1b-8db0-4814-9ed4-881e3b260a5e,1,for brass the Lord will bring gold for Iron silver,"For brass I will bring gold, and for iron I",
4974,14121,0.70323,Joshua 22:22,Old Testament,161,667.0,117,https://wilfordwoodruffpapers.org/documents/75266a32-81b0-4268-846f-4b02260ceed6/page/c9c13d1b-8db0-4814-9ed4-881e3b260a5e,1,to take away the gods of the gods of the,"The Lord God of gods, the Lord God of gods,",
