title,price,location,mileage
2006 Toyota prius Hatchback 4D,"$4,900","Vallejo, CA",152K miles
1995 Ford mustang GT Convertible 2D,"$1,000","San Leandro, CA",146K miles
2003 Honda civic EX Coupe 2D,"$3,600","Daly City, CA",151K miles
2017 Nissan sentra SV Sedan 4D,"$10,000","Oakland, CA",78K miles
2012 Honda civic DX Sedan 4D,"$5,600","San Francisco, CA",237K miles
2013 Ford fusion energi Plug-In Hybrid Titanium Sedan 4D,"$12,000","San Francisco, CA",93K miles
2006 Land Rover range rover HSE Sport Utility 4D,"$4,900","San Francisco, CA",164K miles
2002 Lexus ES 300 Sedan 4D,"$4,200","San Francisco, CA",134K miles
2013 Land Rover range rover evoque Prestige Sport Utility 4D,"$7,000","San Francisco, CA",112K miles
2012 Honda accord LX-P Sedan 4D,"$5,900","San Jose, CA",137K miles
2006 Toyota camry LE Sedan 4D,"$3,300","Fremont, CA",146K miles
2011 Chevrolet malibu LT Sedan 4D,"$3,500","San Francisco, CA",181K miles
2020 Nissan sentra,"$1,800","Palo Alto, CA",56K miles
2014 Ford 2280222638966268 SE Hybrid Sedan 4D,"$7,900","San Jose, CA",86K miles
1998 Honda civic LX Sedan 4D,"$1,600","San Francisco, CA",294K miles
2010 Volkswagen cc Sport Sedan 4D,"$6,700","San Francisco, CA",105K miles
2012 BMW 3 series 328i Sedan 4D,"$3,000","Oakland, CA",17K miles
2018 Honda accord Sport Sedan 4D,"$16,000","San Francisco, CA",58K miles
2020 Hyundai ioniq hybrid Blue Hatchback 4D,"$2,500","San Jose, CA",83K miles
2017 Nissan sentra,"$3,000","Antioch, CA",114K miles
1998 Mitsubishi mirage DE Sedan 4D,"$1,500","Oakland, CA",110K miles
2014 Volkswagen jetta Hybrid SE Sedan 4D,"$2,500","San Francisco, CA",120K miles
2012 Ford focus Hatchback 4D,"$1,200","San Lorenzo, CA",137K miles
2004 Audi a4 1.8 turbo,"$2,000","Richmond, CA",140K miles
2002 Kia sportage Sport Utility 4D,"$1,800","Oakland, CA",150K miles
2008 Toyota camry Hybrid Sedan 4D,$250,"Castro Valley, CA",228K miles
2017 Hyundai Sonata,"$7,500","Daly City, CA",118K miles
2007 Nissan maxima,"$2,430","Hercules, CA",190K miles
2006 Toyota prius Hatchback 4D,"$2,500","Milpitas, CA",206K miles
2007 Toyota camry LE Sedan 4D,"$2,000","Daly City, CA",9.9K miles
2005 MINI cooper S Hatchback 2D,"$4,500","San Francisco, CA",166K miles
2009 Honda accord,"$7,600","San Jose, CA",141K miles
2014 Subaru impreza 2.0i Sport Limited Wagon 4D,"$8,999","Antioch, CA",138K miles
2014 Subaru outback 2.5i Premium Wagon 4D,"$8,350","Pacifica, CA",101K miles
2005 Subaru legacy 2.5i Limited Wagon 4D,"$2,800","Walnut Creek, CA",145K miles
